date,car,bus,station_code,station_name,city
2020-07-09,2209,89,187,진부,평창
2020-07-10,2038,55,187,진부,평창
2020-07-11,2480,43,187,진부,평창
2020-07-12,2530,35,187,진부,평창
2020-07-13,1811,48,187,진부,평창
2020-07-14,1766,51,187,진부,평창
2020-07-15,2487,101,187,진부,평창
2020-07-16,2072,75,187,진부,평창
2020-07-17,2608,76,187,진부,평창
2020-07-18,2986,45,187,진부,평창
2020-07-19,2603,28,187,진부,평창
2020-07-20,1803,48,187,진부,평창
2020-07-21,1953,62,187,진부,평창
2020-07-22,1987,71,187,진부,평창
2020-07-23,1956,60,187,진부,평창
2020-07-24,1895,54,187,진부,평창
2020-07-25,1984,41,187,진부,평창
2020-07-26,2482,26,187,진부,평창
2020-07-27,2185,56,187,진부,평창
2020-07-28,2070,67,187,진부,평창
2020-07-29,2011,60,187,진부,평창
2020-07-30,2139,67,187,진부,평창
2020-07-31,2784,77,187,진부,평창
2020-07-01,8393,327,189,강릉,강릉
2020-07-02,9625,328,189,강릉,강릉
2020-07-03,11629,351,189,강릉,강릉
2020-07-04,14887,219,189,강릉,강릉
2020-07-05,16192,142,189,강릉,강릉
2020-07-06,10832,344,189,강릉,강릉
2020-07-07,9801,386,189,강릉,강릉
2020-07-08,9933,348,189,강릉,강릉
2020-07-09,10161,336,189,강릉,강릉
2020-07-10,11079,280,189,강릉,강릉
2020-07-11,13649,194,189,강릉,강릉
2020-07-12,15735,120,189,강릉,강릉
2020-07-13,9869,266,189,강릉,강릉
2020-07-14,8835,300,189,강릉,강릉
2020-07-15,9809,357,189,강릉,강릉
2020-07-16,10552,364,189,강릉,강릉
2020-07-17,12391,331,189,강릉,강릉
2020-07-18,15710,231,189,강릉,강릉
2020-07-19,15117,152,189,강릉,강릉
2020-07-20,10016,284,189,강릉,강릉
2020-07-21,10042,328,189,강릉,강릉
2020-07-22,10057,343,189,강릉,강릉
2020-07-23,9770,311,189,강릉,강릉
2020-07-24,10334,255,189,강릉,강릉
2020-07-25,10942,169,189,강릉,강릉
2020-07-26,12761,124,189,강릉,강릉
2020-07-27,10761,275,189,강릉,강릉
2020-07-28,10141,292,189,강릉,강릉
2020-07-29,10184,295,189,강릉,강릉
2020-07-30,11070,288,189,강릉,강릉
2020-07-31,14022,310,189,강릉,강릉
2020-07-01,57193,3319,190,동서울,서울
2020-07-02,57985,3272,190,동서울,서울
2020-07-03,69929,3128,190,동서울,서울
2020-07-04,71365,1404,190,동서울,서울
2020-07-05,56890,794,190,동서울,서울
2020-07-06,60338,3105,190,동서울,서울
2020-07-07,55608,3250,190,동서울,서울
2020-07-08,56887,3276,190,동서울,서울
2020-07-09,57953,3181,190,동서울,서울
2020-07-10,65389,2928,190,동서울,서울
2020-07-11,71907,1409,190,동서울,서울
2020-07-12,57249,772,190,동서울,서울
2020-07-13,50923,2696,190,동서울,서울
2020-07-14,54952,3169,190,동서울,서울
2020-07-15,59420,3322,190,동서울,서울
2020-07-16,59256,3266,190,동서울,서울
